age;Juania_australis;Empetrum_rubrum;Pernettya_rigida;Drimys_confertifolia;Myrteola_nummularia;Myrceugenia;Fagara;Dysopsis;Spergularia;Coprosma;Sophora;Cuminia;Loranthaceae;Rhapiothamnus;Ugni_molinae;Aristotelia_chilensis;Eucalyptus;Pinus;Acaena;Rubus;Rumex;Plantago;Poaceae;Asteraceae_Tub;Asteraceae_Liguliflorae;Alternanthera;Chenopodium;Rosaceae;Gunnera;Haloragis;Dicksonia;Blechnum;Pteris;Lophosoria;Histiopteris;Thyrsopteris_elegans;Cystopteris_fragilis;Hymenophyllaceae;Lycopodium;Polypodium;Ophioglossum;Gleichenia
31,5;0;0;0;0,022006602;0;0,079323797;0;0;0;0;0;0;0;0;0,030809243;0,026407922;0,013203961;0;0,00440132;0,008802641;0,123337001;0;0,237971391;0,030809243;0;0;0;0;0;0,066119836;0,035210563;0,281984595;0,017605282;0;0,017605282;0,00440132;0;0;0;0;0;0
46,5;0;0;0;0,041662474;0;0;0;0;0;0;0;0;0;0;0,054442991;0,03200161;0;0,009660863;0;0,003220288;0,10254604;0;0,189091275;0,009660863;0;0;0;0;0,003220288;0,016000805;0;0,423065311;0,022441381;0;0,083324947;0,006440576;0;0;0;0,003220288;0;0
62,5;0;0;0,008471158;0,008471158;0;0,004235579;0,004235579;0;0;0;0;0;0;0;0,639874949;0,004235579;0;0,012706737;0;0;0,016942315;0;0,067769262;0,004235579;0;0;0;0;0;0;0;0,182230738;0,008471158;0;0,025413473;0,012706737;0;0;0;0;0;0
78;0;0;0,04949505;0,0219978;0;0;0,0109989;0;0;0;0;0;0;0;0,598840117;0,01649835;0;0;0;0;0,087891211;0;0,03849615;0;0;0;0;0;0,00549945;0;0;0,153784622;0;0;0,01649835;0;0;0;0;0;0;0
93,5;0,154369126;0;0;0,00839832;0;0,00839832;0,018496301;0;0;0;0;0;0;0;0;0;0;0;0;0;0,021795641;0;0;0,01169766;0;0;0;0;0;0,00169966;0,004999;0,260047991;0,00339932;0;0;0;0,503299341;0;0;0,00339932;0;0
107,5;0,018314277;0;0;0,008297076;0;0,168066377;0,006475766;0;0;0;0;0;0;0;0;0;0;0;0;0,000910655;0;0;0,008297076;0;0;0;0;0;0,000910655;0,000910655;0,000910655;0,785996153;0;0;0;0;0;0;0;0,000910655;0;0
121;0,252525254;0;0;0,01110111;0;0,03590359;0,02350235;0;0;0;0;0;0;0;0;0,00870087;0,03340334;0,00120012;0;0,136113611;0,01730173;0;0,01360136;0,00370037;0;0;0;0;0,0470047;0;0,00870087;0,04460446;0,03220322;0;0,330433044;0;0;0;0;0;0;0
136;0;0;0;0,0143;0;0,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0,1643;0;0;0;0;0;0;0;0;0,0214;0,0357;0,0357;0,0786;0,1143;0;0;0;0,1357;0;0
151;0;0;0,0095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1381;0;0,4095;0;0,0143;0;0;0;0;0;0;0,2;0,0286;0,0714;0,0952;0;0,0048;0;0,0286;0;0;0
165,5;0;0;0;0,00680068;0;0;0;0;0;0,01030103;0;0;0;0;0,00340034;0;0;0;0;0;0,277427743;0;0,506850686;0,01030103;0;0;0;0;0;0;0,00340034;0,140414041;0;0,01370137;0,02740274;0;0;0;0;0;0;0
