age;Adenocarpus;Allium;Apiaceae;Artemisia;Asphodelus;Asteracaeae;Bituminaria.cf..bituminosa;Canarina.cf..canariensis;Carex;Carpinus.cf..betulus;Caryophyllaceae;Cedronella;Chamaecytisus;Chenopodiaceae;Cistus;Convolvulus;Daphne.cf..gnidium;Dracaena.cf..draco;Echium;Erica.arborea;Erodium;Fumariaceae;Hypericum;Ilex;Juncus;Juniperus;Lamiaceae;Lauraceae;Maytenus.cf..canariensis;Myrica.cf..faya;Olea;Pericallis;Phoenix.cf..canariensis;Picconia.cf..excelsa;Pinus.cf..canariensis;Pistacia;Plantaginaceae;Poaceae;Prunus.cf..lusitanica;Pteridophyta;Quercus;Ranunculus;Rubiaceae;Rumex;Salix.cf..canariensis;Sambucus.cf..palmensis;Scrophulariaceae;Sideroxylon.cf..mirmulano;Trifolium;Typha.dominguensis;Viburnum.cf..rigidum;Visnea.cf..mocanera
982,5;0,025706941;0;0;0;0;0,077120823;0;0;0,002570694;0;0,005141388;0;0,005141388;0,020565553;0,005141388;0,002570694;0;0;0,010282776;0,053984576;0,002570694;0;0,002570694;0;0,007712082;0,010282776;0,002570694;0;0;0,236503856;0;0,017994859;0,053984576;0,005141388;0,005141388;0;0;0,128534704;0,048843188;0,095115681;0;0,015424165;0,002570694;0;0,082262211;0,005141388;0,015424165;0;0;0;0,051413882;0,002570694
1069,5;0,022727273;0;0;0;0;0,088383838;0;0;0,01010101;0;0,002525253;0;0,002525253;0,007575758;0;0;0;0;0,022727273;0,02020202;0;0;0,005050505;0;0;0,015151515;0,005050505;0,005050505;0;0,189393939;0;0;0,042929293;0,01010101;0,015151515;0;0;0,148989899;0,047979798;0,101010101;0,027777778;0,005050505;0;0;0,116161616;0,025252525;0,01010101;0;0;0;0,045454545;0,007575758
1176,5;0,024509804;0;0;0;0;0,073529412;0,007352941;0;0,00245098;0;0,00245098;0;0;0,007352941;0;0;0;0;0,026960784;0,029411765;0;0;0,00245098;0;0,00245098;0,024509804;0;0,022058824;0;0,223039216;0;0,00245098;0,039215686;0,009803922;0,004901961;0;0;0,105392157;0,041666667;0,12745098;0,004901961;0,019607843;0,00245098;0;0,085784314;0,022058824;0,017156863;0,007352941;0;0;0,056372549;0,004901961
1287,5;0,012562814;0;0;0;0;0,045226131;0,002512563;0;0,025125628;0,007537688;0;0;0,002512563;0,010050251;0;0;0;0;0,030150754;0,020100503;0;0;0;0;0;0,022613065;0,002512563;0,012562814;0,002512563;0,246231156;0,002512563;0,002512563;0,030150754;0,007537688;0,010050251;0,005025126;0,002512563;0,103015075;0,060301508;0,100502513;0,030150754;0,047738693;0,002512563;0;0,055276382;0,010050251;0,010050251;0,002512563;0;0,002512563;0,072864322;0
1476,5;0,014354067;0;0;0;0;0,055023923;0;0;0,007177033;0,011961722;0;0;0,002392344;0,004784689;0;0;0;0;0,023923445;0,019138756;0;0;0,002392344;0;0,002392344;0,026315789;0;0,014354067;0;0,16507177;0,007177033;0,002392344;0,04784689;0,009569378;0,0215311;0;0;0,155502392;0,026315789;0,090909091;0,038277512;0,04784689;0,004784689;0;0,122009569;0,014354067;0,009569378;0,004784689;0;0;0,045454545;0,002392344
1616;0,01119403;0;0,001865672;0;0;0,024253731;0;0;0,057835821;0,020522388;0;0;0,003731343;0,016791045;0,001865672;0;0,001865672;0;0,01119403;0,005597015;0;0;0;0,003731343;0,024253731;0,076492537;0;0,016791045;0;0,126865672;0;0,001865672;0,014925373;0,001865672;0,016791045;0;0,001865672;0,065298507;0,029850746;0,11380597;0,069029851;0,167910448;0;0;0,059701493;0,013059701;0,001865672;0;0;0;0,035447761;0,001865672
1657,5;0;0;0;0;0;0,039823009;0;0;0,026548673;0,048672566;0,004424779;0;0,002212389;0,006637168;0;0;0;0;0,042035398;0,022123894;0;0;0,004424779;0;0,004424779;0,019911504;0,002212389;0,022123894;0;0,161504425;0,004424779;0,002212389;0,006637168;0,006637168;0,002212389;0;0;0,121681416;0,015486726;0,095132743;0,07079646;0,077433628;0;0;0,115044248;0,008849558;0,017699115;0;0;0;0,046460177;0,002212389
1748;0,012820513;0;0,003663004;0,001831502;0;0,025641026;0;0;0,062271062;0,032967033;0;0;0,003663004;0,001831502;0;0;0;0;0,045787546;0,02014652;0;0;0,003663004;0,001831502;0,003663004;0,021978022;0,001831502;0,010989011;0;0,119047619;0,005494505;0,001831502;0,012820513;0,005494505;0,003663004;0;0,003663004;0,06959707;0,02014652;0,078754579;0,08974359;0,142857143;0;0;0,126373626;0,021978022;0,003663004;0,001831502;0;0;0,034798535;0,003663004
1833,5;0,007109005;0;0;0;0;0,063981043;0,002369668;0;0,035545024;0,033175355;0,002369668;0;0;0,009478673;0;0,009478673;0;0;0,045023697;0,018957346;0;0;0;0;0,007109005;0,04028436;0;0,026066351;0;0,104265403;0,002369668;0;0,030805687;0,011848341;0,023696682;0;0;0,130331754;0,016587678;0,106635071;0,045023697;0,056872038;0;0;0,078199052;0,016587678;0,033175355;0,002369668;0;0;0,04028436;0
1915;0,001715266;0;0;0,001715266;0;0,017152659;0;0;0,04974271;0,037735849;0;0;0;0,015437393;0;0;0;0;0,012006861;0,015437393;0;0;0,008576329;0,001715266;0,003430532;0,013722127;0;0,017152659;0;0,109777015;0,006861063;0;0,010291595;0,010291595;0,012006861;0,001715266;0;0,094339623;0,018867925;0,056603774;0,111492281;0,19897084;0;0;0,101200686;0,013722127;0,008576329;0,003430532;0;0;0,042881647;0,003430532
2033;0,003565062;0;0,003565062;0;0;0,019607843;0;0;0,023172906;0,085561497;0;0;0;0,019607843;0,001782531;0;0;0;0,001782531;0,017825312;0;0;0;0,007130125;0,007130125;0,019607843;0;0,021390374;0,001782531;0,08912656;0,001782531;0;0,01426025;0,008912656;0,01426025;0;0,017825312;0,07486631;0,012477718;0,080213904;0,083778966;0,237076649;0;0;0,114081996;0,001782531;0;0;0;0;0,01426025;0,001782531
2183,5;0,001383126;0;0;0,001383126;0;0,013831259;0;0;0,05670816;0,125864454;0;0;0;0,019363762;0;0,001383126;0,001383126;0;0,006915629;0,01659751;0;0;0;0,004149378;0,011065007;0,004149378;0,001383126;0,009681881;0;0,041493776;0;0,001383126;0,002766252;0,005532503;0,015214385;0;0,019363762;0,037344398;0,015214385;0,078838174;0,052558783;0,325034578;0;0,001383126;0,110650069;0,004149378;0;0,001383126;0;0;0,011065007;0,001383126
2332;0,001282051;0;0,005128205;0,001282051;0;0,012820513;0;0;0,041025641;0,111538462;0;0;0;0,017948718;0,001282051;0;0;0;0,005128205;0,006410256;0;0;0;0,001282051;0,006410256;0,020512821;0,001282051;0,029487179;0;0,020512821;0;0;0,002564103;0,015384615;0,015384615;0;0,014102564;0,034615385;0,016666667;0,074358974;0,037179487;0,323076923;0;0,006410256;0,15;0,001282051;0;0;0;0;0,024358974;0,001282051
2483;0,001416431;0;0,001416431;0;0;0,005665722;0;0;0,062322946;0,121813031;0;0;0;0,021246459;0,005665722;0;0;0,001416431;0,001416431;0,007082153;0;0;0,001416431;0,007082153;0,016997167;0,009915014;0,005665722;0,035410765;0;0,033994334;0;0;0,015580737;0,009915014;0,011331445;0,001416431;0,008498584;0,045325779;0,009915014;0,079320113;0,049575071;0,281869688;0;0;0,11898017;0,001416431;0;0;0;0;0,026912181;0
2636;0;0;0,00135318;0;0;0,0067659;0;0,00405954;0,077131258;0,115020298;0;0;0;0,028416779;0,00270636;0;0;0;0,00270636;0,0067659;0;0,00135318;0,00135318;0,00405954;0,01759134;0,0067659;0;0,029769959;0;0,031123139;0,00135318;0;0,00541272;0,01623816;0,00947226;0;0,00405954;0,02435724;0,00811908;0,093369418;0,056833559;0,271989175;0,00405954;0,00270636;0,120433018;0,00405954;0;0;0;0;0,040595399;0
2823,5;0;0;0,001162791;0;0;0,006976744;0;0;0,090697674;0,105813953;0;0;0;0,001162791;0;0;0;0;0,004651163;0,010465116;0;0,001162791;0;0,01744186;0,01744186;0,01627907;0;0,01627907;0;0,03255814;0;0;0,005813953;0,002325581;0,023255814;0,001162791;0;0,040697674;0,005813953;0,118604651;0,039534884;0,301162791;0;0;0,11744186;0,002325581;0;0;0;0,001162791;0,01744186;0,001162791
2974;0;0;0;0;0;0,012594458;0;0;0,147355164;0,057934509;0;0;0;0,007556675;0,001259446;0;0;0;0,010075567;0,017632242;0;0,001259446;0,002518892;0,010075567;0,005037783;0,008816121;0;0,002518892;0;0,062972292;0,001259446;0;0,028967254;0,007556675;0,044080605;0;0;0,027707809;0,007556675;0,103274559;0,04534005;0,319899244;0;0;0,042821159;0;0;0;0;0;0,023929471;0
3049;0;0;0,002574003;0;0,001287001;0,002574003;0;0;0,1003861;0,047619048;0;0;0;0,001287001;0,001287001;0;0;0;0,007722008;0,011583012;0;0,001287001;0,001287001;0,003861004;0,009009009;0,019305019;0,001287001;0,016731017;0;0,065637066;0;0;0,027027027;0,015444015;0,033462033;0;0;0,066924067;0,001287001;0,104247104;0,034749035;0,311454311;0;0;0,088803089;0;0;0;0;0;0,021879022;0
3236;0;0;0,00098912;0;0,00098912;0,004945598;0;0;0,158259149;0,057368942;0;0;0;0,008902077;0,001978239;0;0;0;0,00098912;0,009891197;0;0,00098912;0,001978239;0,008902077;0,00098912;0,015825915;0;0;0;0,036597428;0;0,00098912;0,006923838;0,002967359;0,040553907;0;0,00098912;0,03066271;0;0,099901088;0,045499505;0,396636993;0;0;0,040553907;0;0;0;0,007912957;0,00098912;0,015825915;0
